Symbol,Company,MarketCap,TrailingPE,ForwardPE,EPS,DebtToEquity,,,,,,,,,,,
ITW,Illinois Tool Works Inc.,71.22B,23.810863,22.942991,10.31,278.654,,,,,,,,,,,
IVZ,Invesco Ltd.,10.40B,15.89796,12.36508,1.47,10.983,,,,,,,,,,,
J,Jacobs Solutions Inc.,18.33B,39.323074,23.061653,3.9,63.387,,,,,,,,,,,
JBHT,"J.B. Hunt Transport Services, Inc.",16.28B,29.577854,23.810587,5.78,53.131,,,,,,,,,,,
JBL,Jabil Inc.,22.83B,36.099663,21.349651,5.92,246.012,,,,,,,,,,,
JCI,Johnson Controls International plc,80.00B,46.482887,29.17661,2.63,76.27,,,,,,,,,,,
JKHY,"Jack Henry & Associates, Inc.",11.68B,24.43769,25.443037,6.58,2.402,,,,,,,,,,,
JNJ,Johnson & Johnson,449.50B,18.026087,17.600943,10.35,57.766,,,,,,,,,,,
JPM,JPMorgan Chase & Co.,855.36B,15.55495,18.770012,20.2,,,,,,,,,,,,
K,Kellanova,29.00B,22.77049,69.45,3.66,145.099,,,,,,,,,,,
KDP,Keurig Dr Pepper Inc.,35.27B,22.37931,12.663415,1.16,73.567,,,,,,,,,,,
KEY,KeyCorp,19.76B,22.320988,11.589744,0.81,,,,,,,,,,,,
KEYS,"Keysight Technologies, Inc.",31.08B,57.419044,25.949785,3.15,48.748,,,,,,,,,,,
KHC,The Kraft Heinz Company,28.74B,,7.9087954,-3.71,50.968,,,,,,,,,,,
KIM,Kimco Realty Corporation,13.91B,24.74699,29.34286,0.83,78.195,,,,,,,,,,,
KKR,KKR & Co. Inc.,112.29B,57.226418,19.98682,2.12,76.715,,,,,,,,,,,
KLAC,KLA Corporation,156.80B,37.456684,36.36106,31.86,122.127,,,,,,,,,,,
KMB,Kimberly-Clark Corporation,34.46B,17.571913,13.610746,5.91,500.068,,,,,,,,,,,
KMI,"Kinder Morgan, Inc.",59.07B,21.762295,21.071428,1.22,102.138,,,,,,,,,,,
KO,The Coca-Cola Company,303.48B,23.360928,23.75421,3.02,144.771,,,,,,,,,,,
KR,The Kroger Co.,43.01B,16.47462,14.17249,3.94,271.402,,,,,,,,,,,
KVUE,Kenvue Inc.,32.34B,22.506666,13.836064,0.75,85.659,,,,,,,,,,,
L,Loews Corporation,21.20B,14.868115,35.37586,6.9,49.123,,,,,,,,,,,
LDOS,"Leidos Holdings, Inc.",25.18B,18.375,18.84976,10.72,105.551,,,,,,,,,,,
LEN,Lennar Corporation,30.78B,12.022751,7.5309796,10.11,24.892,,,,,,,,,,,
LH,Labcorp Holdings Inc.,20.95B,24.825148,15.775281,10.18,75.557,,,,,,,,,,,
LHX,"L3Harris Technologies, Inc.",54.37B,31.253763,20.19875,9.3,60.629,,,,,,,,,,,
