Symbol,Security,Sector,Headquarters
RSG,Republic Services,Industrials,"Phoenix, Arizona"
RMD,ResMed,Health Care,"San Diego, California"
RHI,Robert Half International,Industrials,"Menlo Park, California"
ROK,Rockwell Automation,Industrials,"Milwaukee, Wisconsin"
ROL,Rollins,Industrials,"Atlanta, Georgia"
ROP,Roper Technologies,Industrials,"Sarasota, Florida"
ROST,Ross Stores,Consumer Discretionary,"Dublin, California"
RCL,Royal Caribbean Group,Consumer Discretionary,"Miami, Florida"
SPGI,S&P Global,Financials,"New York City, New York"
CRM,Salesforce,Information Technology,"San Francisco, California"
SBAC,SBA Communications,Real Estate,"Boca Raton, Florida"
SLB,Schlumberger,Energy,"Cura‡ao , Kingdom of the Netherlands"
STX,Seagate Technology,Information Technology,"Dublin , Ireland"
SEE,Sealed Air,Materials,"Charlotte, North Carolina"
SRE,Sempra Energy,Utilities,"San Diego, California"
NOW,ServiceNow,Information Technology,"Santa Clara, California"
SHW,Sherwin-Williams,Materials,"Cleveland, Ohio"
SPG,Simon Property Group,Real Estate,"Indianapolis, Indiana"
SWKS,Skyworks Solutions,Information Technology,"Woburn, Massachusetts"
SNA,Snap-on,Industrials,"Kenosha, Wisconsin"
SO,Southern Company,Utilities,"Atlanta, Georgia"
LUV,Southwest Airlines,Industrials,"Dallas, Texas"
SWK,Stanley Black & Decker,Industrials,"New Britain, Connecticut"
SBUX,Starbucks,Consumer Discretionary,"Seattle, Washington"
STT,State Street Corporation,Financials,"Boston, Massachusetts"
STE,Steris,Health Care,"Dublin , Ireland"
SYK,Stryker Corporation,Health Care,"Kalamazoo, Michigan"
SIVB,SVB Financial,Financials,"Santa Clara, California"
SYF,Synchrony Financial,Financials,"Stamford, Connecticut"
SNPS,Synopsys,Information Technology,"Mountain View, California"
SYY,Sysco,Consumer Staples,"Houston, Texas"
TMUS,T-Mobile US,Communication Services,"Bellevue, Washington"
TROW,T. Rowe Price,Financials,"Baltimore, Maryland"
TTWO,Take-Two Interactive,Communication Services,"New York City, New York"
TPR,Tapestry,Consumer Discretionary,"New York City, New York"
TGT,Target,Consumer Discretionary,"Minneapolis , Minnesota"
TEL,TE Connectivity,Information Technology,"Schaffhausen , Switzerland"
TDY,Teledyne Technologies,Industrials,"Thousand Oaks, California"
TFX,Teleflex,Health Care,"Wayne, Pennsylvania"
TER,Teradyne,Information Technology,"North Reading, Massachusetts"
TSLA,Tesla,Consumer Discretionary,"Palo Alto, California"
TXN,Texas Instruments,Information Technology,"Dallas, Texas"
TXT,Textron,Industrials,"Providence, Rhode Island"
TMO,Thermo Fisher Scientific,Health Care,"Waltham, Massachusetts"
TJX,TJX Companies,Consumer Discretionary,"Framingham, Massachusetts"
TSCO,Tractor Supply Company,Consumer Discretionary,"Brentwood, Tennessee"
TT,Trane Technologies,Industrials,"Dublin , Ireland"
TDG,TransDigm Group,Industrials,"Cleveland, Ohio"
TRV,The Travelers Companies,Financials,"New York City, New York"
TRMB,Trimble,Information Technology,"Sunnyvale, California"
TFC,Truist Financial,Financials,"Charlotte, North Carolina"
TWTR,Twitter,Communication Services,"San Francisco, California"
TYL,Tyler Technologies,Information Technology,"Plano, Texas"
TSN,Tyson Foods,Consumer Staples,"Springdale, Arkansas"
UDR,UDR,Real Estate,"Highlands Ranch, Colorado"
ULTA,Ulta Beauty,Consumer Discretionary,"Bolingbrook, Illinois"
USB,U.S. Bancorp,Financials,"Minneapolis, Minnesota"
UAA,Under Armour (Class A),Consumer Discretionary,"Baltimore, Maryland"
UA,Under Armour (Class C),Consumer Discretionary,"Baltimore, Maryland"
UNP,Union Pacific,Industrials,"Omaha, Nebraska"
UAL,United Airlines,Industrials,"Chicago, Illinois"
UNH,UnitedHealth Group,Health Care,"Minnetonka, Minnesota"
UPS,United Parcel Service,Industrials,"Sandy Springs, Georgia"
URI,United Rentals,Industrials,"Stamford, Connecticut"
UHS,Universal Health Services,Health Care,"King of Prussia, Pennsylvania"
VLO,Valero Energy,Energy,"San Antonio, Texas"
